turn,ts_ms,heapUsed,heapTotal,rss,external,arrayBuffers,mutableMessagesCount,mutableMessagesApproxBytes,contentReplacementSeenIds,contentReplacementReplacements,perKeyClippedIdsEntries,perKeyClippedIdsTotalIds,event
1,2.1,1213789,2385920,45056000,408706,0,4,287142,2,0,0,0,
2,4.2,1213789,3205120,50044928,408706,0,8,637693,4,0,0,0,
3,6.2,1213789,4286464,53248000,408706,0,12,1051724,6,0,0,0,
4,7.7,1213789,5269504,55607296,408706,0,16,1529262,8,0,0,0,
5,9.7,1213789,6563840,59277312,408706,0,20,2070297,10,0,0,0,
6,11.4,1213789,7612416,62160896,408706,0,24,2468972,12,0,0,0,
7,12.3,1213789,8185856,63471616,408706,0,28,2725306,14,0,0,0,
8,13.8,1213789,8923136,65699840,408706,0,32,3045133,16,0,0,0,
9,16.0,1213789,9938944,68583424,408706,0,36,3428508,18,0,0,0,
10,21.0,1213789,2435072,71335936,5660351,0,40,3875323,20,0,0,0,
11,22.3,1213789,3303424,72384512,5660351,0,44,4385610,22,0,0,0,
12,23.8,1213789,4630528,73302016,5660351,0,48,4959445,24,0,0,0,
13,24.2,1213789,5089280,73564160,5660351,0,52,5185061,26,0,0,0,
14,24.9,1213789,5761024,73957376,5660351,0,56,5474151,28,0,0,0,
15,25.7,1213789,6662144,74481664,5660351,0,60,5826727,30,0,0,0,
16,26.5,1213789,7514112,75005952,5660351,0,64,6242845,32,0,0,0,
17,27.7,1213789,8677376,75661312,5660351,0,68,6722462,34,0,0,0,
18,29.7,1213789,10070016,76840960,5660351,0,72,7265558,36,0,0,0,
19,31.2,1213789,10954752,77496320,5660351,0,76,7666280,38,0,0,0,
20,36.0,1213789,2992128,79069184,11223376,0,80,7924710,40,0,0,0,
21,37.3,1213789,3155968,79593472,11223376,0,84,8246629,42,0,0,0,
22,38.2,1213789,3909632,80248832,11223376,0,88,8632020,44,0,0,0,
23,39.2,1213789,4909056,80904192,11223376,0,92,9080836,46,0,0,0,
24,40.5,1213789,6121472,81690624,11223376,0,96,9593126,48,0,0,0,
25,41.7,1213789,7317504,82345984,11223376,0,100,10169028,50,0,0,0,
26,42.2,1213789,7825408,82608128,11223376,0,104,10396716,52,0,0,0,
27,42.9,1213789,8546304,83132416,11223376,0,108,10687893,54,0,0,0,
28,43.6,1213789,9283584,83525632,11223376,0,112,11042583,56,0,0,0,
29,44.6,1213789,10250240,84049920,11223376,0,116,11460720,58,0,0,0,
30,48.5,1213789,3352576,85360640,16581602,0,120,11942353,60,0,0,0,
31,49.6,1213789,3532800,85884928,16581602,0,124,12487446,62,0,0,0,
32,50.4,1213789,4335616,86409216,16581602,0,128,12890221,64,0,0,0,
33,51.1,1213789,4958208,86671360,16581602,0,132,13150734,66,0,0,0,
34,51.9,1213789,5646336,87457792,16581602,0,136,13474697,68,0,0,0,
35,52.8,1213789,6531072,88113152,16581602,0,140,13862109,70,0,0,0,
36,53.9,1213789,7596032,88768512,16581602,0,144,14313003,72,0,0,0,
37,55.0,1213789,8644608,89292800,16581602,0,148,14827395,74,0,0,0,
38,56.4,1213789,9889792,90210304,16581602,0,152,15405248,76,0,0,0,
39,57.0,1213789,10528768,90472448,16581602,0,156,15634955,78,0,0,0,
40,60.1,1213789,3713024,91127808,21619630,0,160,15928173,80,0,0,0,
41,61.0,1213789,3860480,91652096,21619630,0,164,16284906,82,0,0,0,
42,62.0,1213789,4286464,92962816,21619630,0,168,16705143,84,0,0,0,
43,63.2,1213789,5253120,86683648,21619630,0,172,17188808,86,0,0,0,
44,64.9,1213789,6449152,88911872,21619630,0,176,17735936,88,0,0,0,
45,66.4,1213789,7497728,92340224,21619630,0,180,18140728,90,0,0,0,
46,67.1,1213789,8038400,93650944,21619630,0,184,18403253,92,0,0,0,
47,68.2,1213789,8808448,95834112,21619630,0,188,18729243,94,0,0,0,
48,69.5,1213789,9725952,97406976,21619630,0,192,19118671,96,0,0,0,
49,70.8,1213789,10708992,98848768,21619630,0,196,19571636,98,0,0,0,
50,76.5,1213789,4073472,101470208,27364925,0,200,20088085,100,0,0,0,
51,78.3,1213789,4204544,102256640,27364925,0,204,20668036,102,0,0,0,
52,78.8,1213789,4417536,102518784,27364925,0,208,20899829,104,0,0,0,
53,79.5,1213789,5089280,103043072,27364925,0,212,21195091,106,0,0,0,
54,80.4,1213789,5957632,103567360,27364925,0,216,21553855,108,0,0,0,
55,81.2,1213789,6858752,104222720,27364925,0,220,21976092,110,0,0,0,
56,82.4,1213789,7940096,105009152,27364925,0,224,22461831,112,0,0,0,
57,83.8,1213789,9250816,106057728,27364925,0,228,23011043,114,0,0,0,
58,84.8,1213789,10102784,106450944,27364925,0,232,23417956,116,0,0,0,
59,85.4,1213789,10790912,106975232,27364925,0,236,23682539,118,0,0,0,
60,89.1,1213789,4352000,107499520,32695821,0,240,24010564,120,0,0,0,
61,89.9,1213789,4499456,107892736,32695821,0,244,24402066,122,0,0,0,
62,91.0,1213789,4532224,108548096,32695821,0,248,24857044,124,0,0,0,
63,92.3,1213789,5613568,109334528,32695821,0,252,25375532,126,0,0,0,
64,93.5,1213789,6760448,109989888,32695821,0,256,25957550,128,0,0,0,
65,94.0,1213789,7366656,110252032,32695821,0,260,26191408,130,0,0,0,
66,94.7,1213789,8103936,110776320,32695821,0,264,26488776,132,0,0,0,
67,95.4,1213789,8857600,111169536,32695821,0,268,26849575,134,0,0,0,
68,96.5,1213789,9807872,111824896,32695821,0,272,27273874,136,0,0,0,
69,97.7,1213789,11053056,112480256,32695821,0,276,27761620,138,0,0,0,
70,102.3,1213789,4663296,113659904,38192519,0,280,28312830,140,0,0,0,
71,103.2,1213789,4827136,114446336,38192519,0,284,28721700,142,0,0,0,
72,103.8,1213789,4859904,114839552,38192519,0,288,28988262,144,0,0,0,
73,104.5,1213789,4925440,115232768,38192519,0,292,29318329,146,0,0,0,
74,105.5,1213789,5711872,116019200,38192519,0,296,29711903,148,0,0,0,
75,106.7,1213789,6842368,116805632,38192519,0,300,30168985,150,0,0,0,
76,107.7,1213789,7890944,117329920,38192519,0,304,30689569,152,0,0,0,
77,109.0,1213789,9185280,118116352,38192519,0,308,31273585,154,0,0,0,
78,109.6,1213789,9775104,118509568,38192519,0,312,31509491,156,0,0,0,
79,110.2,1213789,10479616,118771712,38192519,0,316,31808859,158,0,0,0,
80,114.8,1213789,4909056,119427072,43297601,0,320,32171755,160,0,0,0,
81,116.5,1213789,5056512,120082432,43297601,0,324,32598032,162,0,0,0,
82,118.2,1213789,5089280,120475648,43297601,0,328,33087814,164,0,0,0,
83,120.1,1213789,5892096,121393152,43297601,0,332,33641105,166,0,0,0,
84,121.8,1213789,6907904,122048512,43297601,0,336,34052096,168,0,0,0,
85,122.7,1213789,7530496,122310656,43297601,0,340,34320736,170,0,0,0,
86,123.9,1213789,8284160,122834944,43297601,0,344,34652849,172,0,0,0,
87,125.0,1213789,9267200,123490304,43297601,0,348,35048469,174,0,0,0,
88,125.9,1213789,10201088,123883520,43297601,0,352,35507596,176,0,0,0,
89,127.2,1213789,11413504,124669952,43297601,0,356,36030208,178,0,0,0,
90,132.4,1213789,5236736,126373888,49439002,0,360,36616354,180,0,0,0,
91,132.9,1213789,5384192,126636032,49439002,0,364,36854262,182,0,0,0,
92,133.6,1213789,5449728,127160320,49439002,0,368,37155687,184,0,0,0,
93,134.6,1213789,5482496,127815680,49439002,0,372,37520568,186,0,0,0,
94,135.4,1213789,5711872,128339968,49439002,0,376,37948917,188,0,0,0,
95,136.5,1213789,6842368,128995328,49439002,0,380,38440788,190,0,0,0,
96,137.9,1213789,8169472,129912832,49439002,0,384,38996122,192,0,0,0,
97,138.8,1213789,9070592,130306048,49439002,0,388,39409150,194,0,0,0,
