src/commands/buddy/index.ts:5:  name: 'buddy',
src/commands/buddy/index.ts:6:  description: 'Hatch, pet, and manage your Claudin companion',
src/commands/knowledge/index.ts:5:  name: 'knowledge',
src/commands/knowledge/index.ts:6:  description: 'Manage native Knowledge Graph',
src/commands/goal/index.ts:13:  name: 'goal',
src/commands/btw/index.ts:5:  name: 'btw',
src/commands/keybindings/index.ts:5:  name: 'keybindings',
src/commands/keybindings/index.ts:6:  description: 'Open or create your keybindings configuration file',
src/commands/resume/index.ts:5:  name: 'resume',
src/commands/resume/index.ts:6:  description: 'Resume a previous conversation',
src/commands/bridge/index.ts:14:  name: 'remote-control',
src/commands/bridge/index.ts:16:  description: 'Connect this terminal for remote-control sessions',
src/commands/autofix-pr/index.ts:41:  name: 'autofix-pr',
src/commands/autofix-pr/index.ts:42:  description: 'Address open review feedback on the current PR',
src/commands/install-slack-app/index.ts:5:  name: 'install-slack-app',
src/commands/install-slack-app/index.ts:6:  description: 'Install the Claude Slack app',
src/commands/tasks/index.ts:5:  name: 'tasks',
src/commands/tasks/index.ts:7:  description: 'List and manage background tasks',
src/commands/branch/index.ts:6:  name: 'branch',
src/commands/branch/index.ts:9:  description: 'Create a branch of the current conversation at this point',
src/commands/rename/index.ts:5:  name: 'rename',
src/commands/rename/index.ts:6:  description: 'Rename the current conversation',
src/commands/wiki/index.ts:5:  name: 'wiki',
src/commands/wiki/index.ts:6:  description: 'Initialize and inspect the Claudin project wiki',
src/commands/install-github-app/index.ts:6:  name: 'install-github-app',
src/commands/install-github-app/index.ts:7:  description: 'Set up Claude GitHub Actions for a repository',
src/commands/remote-setup/index.ts:7:  name: 'web-setup',
src/commands/voice/index.ts:9:  name: 'voice',
src/commands/voice/index.ts:10:  description: 'Toggle voice mode',
src/commands/thinkback/index.ts:6:  name: 'think-back',
src/commands/thinkback/index.ts:7:  description: 'Your 2025 Claude Code Year in Review',
src/commands/stickers/index.ts:5:  name: 'stickers',
src/commands/stickers/index.ts:6:  description: 'Order Claude Code stickers',
src/commands/ide/index.ts:5:  name: 'ide',
src/commands/ide/index.ts:6:  description: 'Manage IDE integrations and show status',
src/commands/remote-env/index.ts:7:  name: 'remote-env',
src/commands/remote-env/index.ts:8:  description: 'Configure the default remote environment for teleport sessions',
src/commands/vim/index.ts:4:  name: 'vim',
src/commands/vim/index.ts:5:  description: 'Toggle between Vim and Normal editing modes',
src/commands/agents/index.ts:5:  name: 'agents',
src/commands/agents/index.ts:6:  description: 'Manage agent configurations',
src/commands/thinkback-play/index.ts:8:  name: 'thinkback-play',
src/commands/thinkback-play/index.ts:9:  description: 'Play the thinkback animation',
src/commands/hooks/index.ts:5:  name: 'hooks',
