Package                                   Version      Editable project location
----------------------------------------- ------------ -----------------------------------------------
attrs                                     26.1.0
babel                                     2.18.0
btrfsutil                                 6.19.1
certifi                                   2026.2.25
cffi                                      2.0.0
charset-normalizer                        3.4.7
click                                     8.3.2
colorama                                  0.4.6
cryptography                              47.0.0
csscompressor                             0.9.5
cupshelpers                               1.0
dbus-python                               1.4.0
fastjsonschema                            2.21.2
filelock                                  3.29.0
ghp-import                                2.1.0
gitdb                                     4.0.12
GitPython                                 3.1.46
gps                                       3.27.5
htmlmin2                                  0.1.13
idna                                      3.11
iniconfig                                 2.3.0
Jinja2                                    3.1.6
jsmin                                     3.0.1
lark                                      1.3.1
librt                                     0.10.0
lit                                       22.1.3.dev0
Markdown                                  3.10.2
MarkupSafe                                3.0.3
mergedeep                                 1.3.4
mkdocs                                    1.6.1
mkdocs-get-deps                           0.2.2
mkdocs-git-revision-date-localized-plugin 1.2.9
mkdocs-material                           9.5.44
mkdocs-material-extensions                1.3.1
mkdocs-minify-plugin                      0.8.0
mypy                                      1.20.2
mypy_extensions                           1.1.0
nftables                                  0.1
OpenTimelineIO                            0.18.1
packaging                                 26.2
paginate                                  0.5.7
pathspec                                  1.0.4
pip                                       26.1
platformdirs                              4.9.6
pluggy                                    1.6.0
poetry-core                               2.3.2
pwquality                                 1.4.5
pyaaf2                                    1.7.1
pycairo                                   1.29.0
pycparser                                 3.0
pycryptodomex                             3.20.0
pycups                                    2.0.4
Pygments                                  2.16.1
PyGObject                                 3.56.2
pymdown-extensions                        10.21.2
pytest                                    9.0.3
python-dateutil                           2.9.0.post0
pytz                                      2026.1.post1
pyxdg                                     0.28
PyYAML                                    6.0.3
pyyaml_env_tag                            1.1
regex                                     2026.4.4
requests                                  2.33.1
ruff                                      0.15.12
shtab                                     1.8.0
six                                       1.17.0
smmap                                     5.0.3
TBB                                       2023.0.0
termcolor                                 3.3.0
terminaltexteffects                       0.14.2
tldr                                      3.4.4
typing_extensions                         4.15.0
ufw                                       0.36.2
urllib3                                   2.6.3
VapourSynth                               75
watchdog                                  6.0.0
wheel                                     0.47.0
woeusb-ng                                 0.2.12
wxPython                                  4.2.5
yt-dlp                                    2026.3.17
yt-dlp-ejs                                0.8.0
zcu                                       0.5.3        /home/devusr/projects/router/zte-config-utility
